timestamp,pupil,eda,eeg,hr,kss
2025-01-01 10:00:00,3.809423,-0.920111,10.969114,78.531726,10
2025-01-01 10:00:01,3.439466,7.409604,14.092333,72.68037,8
2025-01-01 10:00:02,4.418725,3.563928,11.057737,60.2455,4
2025-01-01 10:00:03,2.968642,1.525864,8.821233,74.247464,6
2025-01-01 10:00:04,4.299925,5.840109,3.843638,70.819078,7
2025-01-01 10:00:05,4.262026,5.569181,8.56613,79.745487,6
2025-01-01 10:00:06,4.896747,6.360033,12.292375,102.217411,2
2025-01-01 10:00:07,4.364136,3.202115,8.771591,82.731655,7
2025-01-01 10:00:08,4.097297,6.527393,14.345652,88.500945,5
2025-01-01 10:00:09,5.945706,4.195136,15.416109,80.482082,5
2025-01-01 10:00:10,4.627777,5.672387,12.820717,74.771044,2
2025-01-01 10:00:11,5.947731,7.583215,9.742392,56.757448,8
2025-01-01 10:00:12,3.146395,3.605212,13.924973,91.399497,7
2025-01-01 10:00:13,2.894379,3.039616,6.005134,85.824686,2
2025-01-01 10:00:14,5.67406,6.205293,15.520263,89.154171,1
2025-01-01 10:00:15,3.330327,2.132982,14.753786,88.134259,9
2025-01-01 10:00:16,3.054209,6.261902,12.865203,57.068602,5
2025-01-01 10:00:17,3.855734,3.739976,8.381708,100.907014,1
2025-01-01 10:00:18,4.250871,1.129403,14.263611,70.542252,5
2025-01-01 10:00:19,4.856273,4.302672,8.674538,83.350255,10
2025-01-01 10:00:20,4.892072,7.098627,13.812395,87.572767,5
2025-01-01 10:00:21,5.409299,3.823353,9.735395,64.331289,5
2025-01-01 10:00:22,3.483946,2.69577,10.156276,80.34279,8
2025-01-01 10:00:23,5.280983,7.078817,7.675257,71.454097,10
2025-01-01 10:00:24,4.106698,7.505561,14.662174,81.180445,4
2025-01-01 10:00:25,3.260751,3.628815,8.807824,72.020442,6
2025-01-01 10:00:26,3.782131,3.310043,17.072171,80.551622,2
2025-01-01 10:00:27,3.381139,3.438845,12.727616,85.644412,10
2025-01-01 10:00:28,5.139619,5.496757,9.950462,80.437128,6
2025-01-01 10:00:29,4.155212,1.614396,12.186992,82.065584,9
2025-01-01 10:00:30,4.808665,3.990474,19.27545,74.897441,4
2025-01-01 10:00:31,4.570215,3.21501,16.160995,84.900103,8
2025-01-01 10:00:32,3.843816,4.110885,20.529798,80.865132,3
2025-01-01 10:00:33,4.221746,3.377172,12.320103,78.800923,3
2025-01-01 10:00:34,3.004777,3.665702,13.95081,100.055407,2
2025-01-01 10:00:35,6.308496,7.680147,11.703972,95.850136,7
2025-01-01 10:00:36,4.667362,4.340149,11.047728,91.383303,5
2025-01-01 10:00:37,3.802986,4.150394,9.749982,78.715585,6
2025-01-01 10:00:38,4.517193,1.854897,13.775303,78.730749,1
2025-01-01 10:00:39,5.285801,3.347388,10.166296,93.428542,4
2025-01-01 10:00:40,4.976134,2.854646,14.731154,73.546182,3
2025-01-01 10:00:41,4.91424,4.60274,10.733877,83.598197,3
2025-01-01 10:00:42,4.739236,2.48338,9.453407,99.56195,5
2025-01-01 10:00:43,3.599321,0.288511,13.441857,74.430454,3
2025-01-01 10:00:44,5.218073,5.817166,10.760526,67.3629,7
2025-01-01 10:00:45,4.791002,2.699496,19.118256,75.352644,10
